Notes,State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Indiana,18,2014,2014,Female,F,165,3347411,4.9
,Indiana,18,2014,2014,Male,M,341,3249444,10.5
Total,Indiana,18,2014,2014,,,506,6596855,7.7
,Indiana,18,2015,2015,Female,F,178,3357815,5.3
,Indiana,18,2015,2015,Male,M,407,3261865,12.5
Total,Indiana,18,2015,2015,,,585,6619680,8.8
,Indiana,18,2016,2016,Female,F,299,3363491,8.9
,Indiana,18,2016,2016,Male,M,587,3269562,18
Total,Indiana,18,2016,2016,,,886,6633053,13.4
,Indiana,18,2017,2017,Female,F,441,3379723,13
,Indiana,18,2017,2017,Male,M,919,3287095,28
Total,Indiana,18,2017,2017,,,1360,6666818,20.4
,Indiana,18,2018,2018,Female,F,438,3391576,12.9
,Indiana,18,2018,2018,Male,M,876,3300302,26.5
Total,Indiana,18,2018,2018,,,1314,6691878,19.6
,Indiana,18,2019,2019,Female,F,515,3411859,15.1
,Indiana,18,2019,2019,Male,M,994,3320360,29.9
Total,Indiana,18,2019,2019,,,1509,6732219,22.4
,Indiana,18,2020,2020,Female,F,639,3422994,18.7
,Indiana,18,2020,2020,Male,M,1490,3331959,44.7
Total,Indiana,18,2020,2020,,,2129,6754953,31.5
Total,Indiana,18,,,,,8679,53266358,16.3
,Iowa,19,2013,2013,Female,F,97,1557015,6.2
,Iowa,19,2013,2013,Male,M,114,1533401,7.4
Total,Iowa,19,2013,2013,,,211,3090416,6.8
,Iowa,19,2014,2014,Female,F,78,1564081,5
,Iowa,19,2014,2014,Male,M,108,1543045,7
Total,Iowa,19,2014,2014,,,186,3107126,6
,Iowa,19,2015,2015,Female,F,85,1571873,5.4
,Iowa,19,2015,2015,Male,M,138,1552026,8.9
Total,Iowa,19,2015,2015,,,223,3123899,7.1
,Iowa,19,2016,2016,Female,F,76,1575574,4.8
,Iowa,19,2016,2016,Male,M,154,1559119,9.9
Total,Iowa,19,2016,2016,,,230,3134693,7.3
,Iowa,19,2017,2017,Female,F,101,1580978,6.4
,Iowa,19,2017,2017,Male,M,172,1564733,11
Total,Iowa,19,2017,2017,,,273,3145711,8.7
,Iowa,19,2018,2018,Female,F,64,1585338,4
,Iowa,19,2018,2018,Male,M,156,1570807,9.9
Total,Iowa,19,2018,2018,,,220,3156145,7
,Iowa,19,2019,2019,Female,F,94,1583995,5.9
,Iowa,19,2019,2019,Male,M,188,1571075,12
Total,Iowa,19,2019,2019,,,282,3155070,8.9
,Iowa,19,2020,2020,Female,F,113,1587866,7.1
,Iowa,19,2020,2020,Male,M,229,1575695,14.5
Total,Iowa,19,2020,2020,,,342,3163561,10.8
Total,Iowa,19,,,,,1967,25076621,7.8
,Kansas,20,2013,2013,Female,F,81,1452009,5.6
,Kansas,20,2013,2013,Male,M,106,1441948,7.4
Total,Kansas,20,2013,2013,,,187,2893957,6.5
,Kansas,20,2014,2014,Female,F,87,1456666,6
,Kansas,20,2014,2014,Male,M,115,1447355,7.9
Total,Kansas,20,2014,2014,,,202,2904021,7
,Kansas,20,2015,2015,Female,F,86,1458008,5.9
,Kansas,20,2015,2015,Male,M,121,1453633,8.3
Total,Kansas,20,2015,2015,,,207,2911641,7.1
,Kansas,20,2016,2016,Female,F,82,1459530,5.6
,Kansas,20,2016,2016,Male,M,133,1447759,9.2
Total,Kansas,20,2016,2016,,,215,2907289,7.4
,Kansas,20,2017,2017,Female,F,90,1461167,6.2
,Kansas,20,2017,2017,Male,M,128,1451956,8.8
Total,Kansas,20,2017,2017,,,218,2913123,7.5
,Kansas,20,2018,2018,Female,F,83,1461099,5.7
,Kansas,20,2018,2018,Male,M,147,1450406,10.1
Total,Kansas,20,2018,2018,,,230,2911505,7.9
,Kansas,20,2019,2019,Female,F,110,1461617,7.5
,Kansas,20,2019,2019,Male,M,205,1451697,14.1
Total,Kansas,20,2019,2019,,,315,2913314,10.8
,Kansas,20,2020,2020,Female,F,141,1462265,9.6
,Kansas,20,2020,2020,Male,M,269,1451540,18.5
Total,Kansas,20,2020,2020,,,410,2913805,14.1
Total,Kansas,20,,,,,1984,23268655,8.5
,Kentucky,21,2013,2013,Female,F,244,2231899,10.9
,Kentucky,21,2013,2013,Male,M,462,2163396,21.4
Total,Kentucky,21,2013,2013,,,706,4395295,16.1
,Kentucky,21,2014,2014,Female,F,284,2240299,12.7
,Kentucky,21,2014,2014,Male,M,491,2173158,22.6
Total,Kentucky,21,2014,2014,,,775,4413457,17.6
,Kentucky,21,2015,2015,Female,F,351,2245998,15.6
,Kentucky,21,2015,2015,Male,M,597,2179094,27.4
Total,Kentucky,21,2015,2015,,,948,4425092,21.4
,Kentucky,21,2016,2016,Female,F,386,2250421,17.2
,Kentucky,21,2016,2016,Male,M,703,2186553,32.2
Total,Kentucky,21,2016,2016,,,1089,4436974,24.5
,Kentucky,21,2017,2017,Female,F,481,2259871,21.3
,Kentucky,21,2017,2017,Male,M,833,2194318,38
